N,CODIGO_PROYECTO,SUBDIRECCION,PROGRAMA,INSTRUMENTO,NOMBRE_CONCURSO,AGNO_CONCURSO,AGNO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA_MINCIENCIA,REGION_EJECUCION,MONTO_ADJUDICADO,NOTA_MONTO,MONEDA,PALABRAS_CLAVES
1,1820005,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,SORCION Y DESORCION DE METALES PESADOS EN SUELOS.,CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA QUIMICA,QUIMICA,12,PERSONA NATURAL,EDUARDO VICTOR SCHALSCHA BECKER,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,300,NA,Miles de pesos (M$),SIN INFORMACION
2,1820006,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTIMACION DEL IMPACTO DEL SANEAMIENTO BASICO SOBRE LA MORTALIDAD.,CIENCIAS MEDICAS Y DE LA SALUD,OTRAS ESPECIALIDADES DE LA MEDICINA,MEDICINA 1,12,PERSONA NATURAL,ANGEL CLAUDIO FLISFISCH FERNANDEZ,HOMBRE,FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES (FLACSO CHILE),RM,REGION METROPOLITANA DE SANTIAGO,130,NA,Miles de pesos (M$),SIN INFORMACION
3,1820009,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,EFECTOS NO IDEALES EN UN PLASMA CILINDRICO.,CIENCIAS NATURALES,FISICA TEORICA Y EXPERIMENTAL,FISICA TEORICA Y EXP,12,PERSONA NATURAL,LUIS GOMBEROFF JAIKLES,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,506,NA,Miles de pesos (M$),SIN INFORMACION
4,1820010,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIO SOBRE LA CONCIENCIA DE LA REALIDAD POLITICO SOCIAL COMO FACTOR FUNDAMENTAL EN LA GENESIS DE LA CRISIS CHILENA EN 1924,HUMANIDADES,HISTORIA,HISTORIA,12,PERSONA NATURAL,PEDRO CRISTIAN GAZMURI RIVEROS,HOMBRE,PARTICULAR,RM,REGION METROPOLITANA DE SANTIAGO,335,NA,Miles de pesos (M$),SIN INFORMACION
5,1820015,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,"ESTUDIO DE INTERACCIONES ENTRE ""BIOELECTROQUIMICA COMPUESTOS DE INTERES BIOLOGICO I"".",CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA QUIMICA,QUIMICA,12,PERSONA NATURAL,JUAN ARTURO SQUELLA SERRANO,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,260,NA,Miles de pesos (M$),SIN INFORMACION
6,1820043,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,RECOLECCION MANTENCION Y EVALUACION DEL GERNOPLASMA CHILENO DE PAPAS.,CIENCIAS AGRICOLAS,AGRONOMIA Y OTRAS ESP. SILVOAGROPECUARIA,AGRONOMIA,12,PERSONA NATURAL,ANDRES NICOLAS CONTRERAS MENDEZ,HOMBRE,UNIVERSIDAD AUSTRAL DE CHILE,SUR,REGION DE LOS RIOS,464,NA,Miles de pesos (M$),SIN INFORMACION
7,1820048,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,COMPUESTOS DE COORDINACION FORMADOS POR CARBOHIDRATOS Y METALES DE TRANSICION. I.-,CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA QUIMICA,QUIMICA,12,PERSONA NATURAL,CARMEN SYLVIA IBARRA CORRALES,MUJER,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,260,NA,Miles de pesos (M$),SIN INFORMACION
8,1820056,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,EL METODO NARRATIVO DE ALBERTO BLEST GANA.,HUMANIDADES,LINGUISTICA LITERATURA Y FILOLOGIA,LINGUISTICALITERATU,12,PERSONA NATURAL,JUAN ENRIQUE TALADRIZ,HOMBRE,PARTICULAR,CENTRO,REGION DE VALPARAISO,480,NA,Miles de pesos (M$),SIN INFORMACION
9,1820089,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ROL FUNCIONAL Y CATALITICO DE LA APIRASA DE S. TUBEROSUM VARIEDAD DESIREE.,CIENCIAS NATURALES,BIOQUIMICA,BIOLOGIA 3,12,PERSONA NATURAL,MARIA AIDA TRAVERSO PASCUALETTI,MUJER,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,400,NA,Miles de pesos (M$),SIN INFORMACION
10,1820093,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIOS BIOQUIMICOS SOBRE LA MEUROTRANSMISION CENTRAL.,CIENCIAS NATURALES,BIOQUIMICA,BIOLOGIA 3,12,PERSONA NATURAL,FERNANDO JOSE ORREGO VICUNA,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,400,NA,Miles de pesos (M$),SIN INFORMACION
11,1820104,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIOS ORNITOLOGICOS SUBANTARTICOS EN LA ISLA NOIR (54 GRADOS 30' S-73 GRADOS 00' W).,CIENCIAS NATURALES,ZOOLOGIA,BIOLOGIA 1,12,PERSONA NATURAL,CLAUDIO ROBERTO VENEGAS CANELO,HOMBRE,UNIVERSIDAD DE MAGALLANES,AUSTRAL,REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA,251,NA,Miles de pesos (M$),SIN INFORMACION
12,1820113,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIO DE LAS FRACCIONES LIPIDICAS DEL MUSCULO DEL JUREL.,INGENIERIA Y TECNOLOGIA,PROCESAMIENTO Y TECNOLOGIA DE ALIMENTOS,INGENIERIA 3,12,PERSONA NATURAL,LILIA ADRIANA MASSON SALAUE,MUJER,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,640,NA,Miles de pesos (M$),SIN INFORMACION
13,1820122,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,DIGESTION ANAEROBICA DE DESECHOS ORGANICOS DILUIDOS.,INGENIERIA Y TECNOLOGIA,INGENIERIA QUIMICA,INGENIERIA 3,12,PERSONA NATURAL,JORGE ERNESTO RETAMAL MARCHANT,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CENTRO,REGION DE VALPARAISO,523,NA,Miles de pesos (M$),SIN INFORMACION
14,1820132,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,BATIMETRIA DE LOS FONDOS MARINOS SITUADOS ENTRE LOS 18 Y 58 GRADOS DE LATITUD SUR Y DESDE LA LINEA DE LA COSTA HASTA LOS 120 GRADOS DE LONGITUD OESTE.,CIENCIAS NATURALES,GEODESIA,CS. DE LA TIERRA,12,PERSONA NATURAL,JESUS ESTEBAN MORALES GAMBOA,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CENTRO,REGION DE VALPARAISO,330,NA,Miles de pesos (M$),SIN INFORMACION
15,1820137,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,POETICA AMERICANA Y BERNARDINO DE SAHAGUN.,HUMANIDADES,LINGUISTICA LITERATURA Y FILOLOGIA,LINGUISTICALITERATU,12,PERSONA NATURAL,LEONIDAS EMILFORK TOBAR,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CENTRO,REGION DE VALPARAISO,325,NA,Miles de pesos (M$),SIN INFORMACION
16,1820149,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ANALISIS DE ALGUNOS FACTORES QUE INCIDEN SOBRE LA INDUCCION FLORAL EN ESPECIES FRUTALES.,CIENCIAS AGRICOLAS,FRUTICULTURA Y VITICULTURA,AGRONOMIA,12,PERSONA NATURAL,JULIO ERNESTO SAAVEDRA OPAZO,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,438,NA,Miles de pesos (M$),SIN INFORMACION
17,1820161,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,INDUSTRIALIZACION DE CITRICOS.,INGENIERIA Y TECNOLOGIA,PROCESAMIENTO Y TECNOLOGIA DE ALIMENTOS,INGENIERIA 3,12,PERSONA NATURAL,CARMEN LUISA SAENZ HERNANDEZ,MUJER,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,449,NA,Miles de pesos (M$),SIN INFORMACION
18,1820168,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIO DE LOS PROCESOS DE LA PRODUCTIVIDAD PRIMARIA EN PLANTAS CAM SUMULACION DEL BALANCE ENERGETICO,CIENCIAS NATURALES,BOTANICA,BIOLOGIA 1,12,PERSONA NATURAL,VICTOR GARCIA DE CORTAZAR GARCIA DE CORTAZAR,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,315,NA,Miles de pesos (M$),SIN INFORMACION
19,1820181,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ECOLOGIA COMPARADA DE ARTROPODOS EN HUERTOS DE MANZANOS BAJO DIFERENTES.......,CIENCIAS AGRICOLAS,FRUTICULTURA Y VITICULTURA,AGRONOMIA,12,PERSONA NATURAL,ROBERTO HERNAN GONZALEZ RODRIGUEZ,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,479,NA,Miles de pesos (M$),SIN INFORMACION
20,1820182,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,IMPLEMENTACION Y DESARROLLO DEL METODO INMUNOENZIMATICO PARA DIAGNOSTICO E IDENTIFICACION DE ENFERMEDADES A VIRUS DE FRUTALES Y VIDES,CIENCIAS AGRICOLAS,FITOPATOLOGIA,AGRONOMIA,12,PERSONA NATURAL,JAIME GUILLERMO AUGER SAAVEDRA,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,378,NA,Miles de pesos (M$),SIN INFORMACION
21,1820195,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,PROBLEMAS DE GERMINACION EN ALGUNAS ESPECIES SILVESTRES. I . CASO DEL ATRIPLEX REPANDA PHIL.,CIENCIAS AGRICOLAS,AGRONOMIA Y OTRAS ESP. SILVOAGROPECUARIA,AGRONOMIA,12,PERSONA NATURAL,MYRNA DEL CARMEN JOHNSTON BARRIA,MUJER,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,549,NA,Miles de pesos (M$),SIN INFORMACION
22,1820197,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,BASE DEL MANEJO PRODUCTIVO EN A. REPANDA.,CIENCIAS AGRICOLAS,AGRONOMIA Y OTRAS ESP. SILVOAGROPECUARIA,AGRONOMIA,12,PERSONA NATURAL,ALFREDO GERARDO OLIVARES ESPINOZA,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,465,NA,Miles de pesos (M$),SIN INFORMACION
23,1820203,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,SISTEMA INTENSIVO DE PRODUCCION DE CARNE OVINA. IA. ETAPA ESTUDIO DE FACTORES QUE AFECTAN EL CRECIMIENTO Y EFICIENCIA DE CORDEROS DESIETADOS PRECOZMENTE.,CIENCIAS MEDICAS Y DE LA SALUD,SALUD Y PRODUCCION ANIMAL,SALUD PROD ANIM,12,PERSONA NATURAL,GUILLERMO GARCIA DIAZ,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,305,NA,Miles de pesos (M$),SIN INFORMACION
24,1820215,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,DETERMINACION DE ESTACIONALIDAD EN SITIOS ARQUEOLOGICOS EN BASE A LINEAS DE CRECIMIENTO DE MOLUSCOS.,CIENCIAS SOCIALES,ANTROPOLOGIA Y ARQUEOLOGIA,ANTROP. Y ARQUE,12,PERSONA NATURAL,MARIA TERESA PLANELLA ORTIZ,MUJER,PARTICULAR,RM,REGION METROPOLITANA DE SANTIAGO,157,NA,Miles de pesos (M$),SIN INFORMACION
25,1820236,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,INCIDENCIA DE NUEVOS ENTEROPATOGENOS E. COLI TOXIGENICOS Y CAMPLYLOBACTER FETUS EN DIARREA AGUDA EN LACTANTES. DETECCION DE ENTEROTOXINAS.,CIENCIAS MEDICAS Y DE LA SALUD,OTRAS ESPECIALIDADES DE LA MEDICINA,MEDICINA 1,12,PERSONA NATURAL,VALERIA EUGENIA PRADO JIMENEZ,MUJER,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,200,NA,Miles de pesos (M$),SIN INFORMACION
26,1820242,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ANTEPROYECTO PARA LA EVALUACION DEL POTENCIAL MINERO DEL FONDO OCEANICO EN EL MAR DE CHILE.,CIENCIAS NATURALES,GEOLOGIA Y MINERALOGIA,CS. DE LA TIERRA,12,PERSONA NATURAL,CARLOS QUINONES LOPEZ,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CENTRO,REGION DE VALPARAISO,600,NA,Miles de pesos (M$),SIN INFORMACION
27,1820245,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,DETERMINACION DEL ESPECTRO DE ACCION BACTERICIDA DE SERIES DE PIOCINAS AISLADAS DE CEPAS DE PSEUDOMONAS AERUCINOSA.,CIENCIAS NATURALES,MICROBIOLOGIA,BIOLOGIA 3,12,PERSONA NATURAL,HECTOR GLIEB GARCIA QUINTANA,HOMBRE,UNIVERSIDAD AUSTRAL DE CHILE,SUR,REGION DE LOS RIOS,300,NA,Miles de pesos (M$),SIN INFORMACION
28,1820247,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,LA CELULA DE LANCERHANS INTERRELACION CON LOS ELEMENTOS LINFOCITARIOS.,CIENCIAS NATURALES,MORFOLOGIA,BIOLOGIA 2,12,PERSONA NATURAL,ITALO CAORSI CHOUQUER,HOMBRE,UNIVERSIDAD AUSTRAL DE CHILE,SUR,REGION DE LOS RIOS,250,NA,Miles de pesos (M$),SIN INFORMACION
29,1820255,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,PAPEL FISIOLOGICO DE LAS ISOENZIMAS.,CIENCIAS NATURALES,FISIOLOGIA BIOFISICA,BIOLOGIA 2,12,PERSONA NATURAL,HERMANN NIEMEYER FERNANDEZ,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,400,NA,Miles de pesos (M$),SIN INFORMACION
30,1820259,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,EFECTOS BIOGEOGRAFICOS DE LA DESERTIFICACION EN LA FLORA DE LOS ANDES DE CHILE CENTRAL Y NORTE.,CIENCIAS NATURALES,BOTANICA,BIOLOGIA 1,12,PERSONA NATURAL,MARY THERESE KALIN HURLEY,MUJER,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,360,NA,Miles de pesos (M$),SIN INFORMACION
31,1820263,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIO LIMNOLOGICOS EN LAGO LLANQUIHUE Y TODOS LOS SANTOS.,CIENCIAS NATURALES,ZOOLOGIA,BIOLOGIA 1,12,PERSONA NATURAL,HUGO HERMES CAMPOS CERECEDA,HOMBRE,UNIVERSIDAD AUSTRAL DE CHILE,SUR,REGION DE LOS RIOS,500,NA,Miles de pesos (M$),SIN INFORMACION
32,1820278,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,REACTIVIDAD MODO DE ACCION E IMPORTANCIA BIOLOGICA DE LOS ACIDOS HIDROXAMICOS DE GRAMINEAS.,CIENCIAS NATURALES,BIOQUIMICA,BIOLOGIA 3,12,PERSONA NATURAL,AUGUST HERMANN NIEMEYER MARICH,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,400,NA,Miles de pesos (M$),SIN INFORMACION
33,1820281,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,QUIMICA DE METABOLITOS SECUNDARIOS DE CACCHARIS CHILENOS.,CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA QUIMICA,QUIMICA,12,PERSONA NATURAL,MARIANO CASTILLO VALENZUELA,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,455,NA,Miles de pesos (M$),SIN INFORMACION
34,1820303,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,LAS FUENTES DE LA FILOLOGIA CHILENA APPENDIX REGIS.,HUMANIDADES,LINGUISTICA LITERATURA Y FILOLOGIA,LINGUISTICALITERATU,12,PERSONA NATURAL,MARIO ANGEL FERRECCIO PODESTA,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,250,NA,Miles de pesos (M$),SIN INFORMACION
35,1820305,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,COMPACTACION DE BLASTOMEROS.,CIENCIAS NATURALES,GENETICA Y EVOLUCION,BIOLOGIA 1,12,PERSONA NATURAL,CARLOS ANDRES DOGGENWEILER FIGUEROA,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,405,NA,Miles de pesos (M$),SIN INFORMACION
36,1820307,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,GEOLOGIA GEOCRONOLOGIA Y ESTRUCTURA DEL COMPLEJO PLUTONICO SANTA ROSA ISLA NAVARINO - CHILE.,CIENCIAS NATURALES,GEOLOGIA Y MINERALOGIA,CS. DE LA TIERRA,12,PERSONA NATURAL,MANUEL SUAREZ DITTUS,HOMBRE,SERVICIO NACIONAL DE GEOLOGIA Y MINERIA (SERNAGEOMIN),RM,REGION METROPOLITANA DE SANTIAGO,187,NA,Miles de pesos (M$),SIN INFORMACION
37,1820308,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,RECONSTITUCION DE SISTEMAS DE TRANSPORTE DE SARCOLEMA DE BALANUS.,CIENCIAS NATURALES,BIOQUIMICA,BIOLOGIA 3,12,PERSONA NATURAL,OSVALDO ENRIQUE ALVAREZ ARAYA,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,310,NA,Miles de pesos (M$),SIN INFORMACION
38,1820321,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ANALISIS DEL NIVEL DE CULTURA GENERAL QUE SE LOGRA AL FINAL DE LA EDUCACION MEDIA.,CIENCIAS SOCIALES,PEDAGOGIA Y EDUCACION,EDUCACION,12,PERSONA NATURAL,HERNAN VERA LAMPERAIN,HOMBRE,PARTICULAR,RM,REGION METROPOLITANA DE SANTIAGO,480,NA,Miles de pesos (M$),SIN INFORMACION
39,1820324,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,MECANISMOS DE ACCION Y DE SECRECCION DE HORMONAS DE LA CORTEZA ADRENAL.,CIENCIAS NATURALES,BIOQUIMICA,BIOLOGIA 3,12,PERSONA NATURAL,ELISA TERESA MARUSIC BAUK,MUJER,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,400,NA,Miles de pesos (M$),SIN INFORMACION
40,1820325,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIOS DEL ACOPLAMIENTO ESTIMULO - RESPUESTA EN CELULAS DE GLOMERULOSA ADRENAL.,CIENCIAS NATURALES,FISIOLOGIA BIOFISICA,BIOLOGIA 2,12,PERSONA NATURAL,RICHARD ANTONY FOSTER HOWARD,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,250,NA,Miles de pesos (M$),SIN INFORMACION
41,1820334,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,RESPUESTA INMUNE EN CIARDIASIS INFANTIL,CIENCIAS MEDICAS Y DE LA SALUD,OTRAS ESPECIALIDADES DE LA MEDICINA,MEDICINA 1,12,PERSONA NATURAL,ISABEL MIREYA NOEMI HAUCK,MUJER,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,400,NA,Miles de pesos (M$),SIN INFORMACION
42,1820339,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,MICROEVOLUCION Y GENETICA DE POBLACIONES HUMANAS CHILENAS.,CIENCIAS NATURALES,GENETICA Y EVOLUCION,BIOLOGIA 1,12,PERSONA NATURAL,FRANCISCO JAVIER ROTHHAMMER ENGEL,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,540,NA,Miles de pesos (M$),SIN INFORMACION
43,1820362,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,VARIACION PATOGENICA DE MELOIDOGYNE SPP. EN HORTALIZAS Y FRUTALES EN BASE A TRABAJOS CON HOSPEDEROS DIFERENCIALES.,CIENCIAS NATURALES,ENTOMOLOGIA,BIOLOGIA 1,12,PERSONA NATURAL,MAURICIO ORLANDO JIMENEZ ROCO,HOMBRE,UNIVERSIDAD DE TARAPACA,NORTE,REGION DE ARICA Y PARINACOTA,360,NA,Miles de pesos (M$),SIN INFORMACION
44,1820379,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,EL TRACTATUS DE WITTGENSTEIN.,HUMANIDADES,FILOSOFIA,FILOSOFIA,12,PERSONA NATURAL,ISIDRO SUAREZ F.,HOMBRE,PARTICULAR,RM,REGION METROPOLITANA DE SANTIAGO,480,NA,Miles de pesos (M$),SIN INFORMACION
45,1820382,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ANALISIS DEL MERCADO DE CAPITALES CHILENOS.  ],CIENCIAS SOCIALES,CS. ECONOMICAS Y ADMINISTRATIVAS,CS. ECONOM/ADMI,12,PERSONA NATURAL,ARTURO GUTIERREZ JORQUERA,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,400,NA,Miles de pesos (M$),SIN INFORMACION
46,1820423,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,CANALES DE CA+++ Y K+ COMO REGULADORES DE LA ACTIVIDAD ELECTRICA Y MECANICA EN CELULAS DE INVERTEBRADOS.,CIENCIAS NATURALES,FISIOLOGIA BIOFISICA,BIOLOGIA 2,12,PERSONA NATURAL,MARIO FERNANDO LUXORO MARIANI,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,400,NA,Miles de pesos (M$),SIN INFORMACION
47,1820461,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIO TERMODINAMICO DE SOLUCIONES ASOCIADAS.,CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA QUIMICA,QUIMICA,12,PERSONA NATURAL,FERNANDO AGUIRRE ODE,HOMBRE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,CENTRO,REGION DE VALPARAISO,170,NA,Miles de pesos (M$),SIN INFORMACION
48,1820466,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIO DE LAS PROPIEDADES DE DESAGUADO DE CONCENTRADOS DE COBRE.,INGENIERIA Y TECNOLOGIA,INGENIERIA METALURGICA,INGENIERIA 3,12,PERSONA NATURAL,GERARDO DOMINGO RIQUELME DELGADO,HOMBRE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,CENTRO,REGION DE VALPARAISO,563,NA,Miles de pesos (M$),SIN INFORMACION
49,1820468,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,PLANTA PILOTO DE SISTEMA GENERADOR DE BIOGAS TERMOFILICO - MOTOR DIESEL.,INGENIERIA Y TECNOLOGIA,INGENIERIA QUIMICA,INGENIERIA 3,12,PERSONA NATURAL,DANIEL ALKALAY LOWITT,HOMBRE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,CENTRO,REGION DE VALPARAISO,460,NA,Miles de pesos (M$),SIN INFORMACION
50,1820474,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIO DEL PROCESO DE COMBUSTION DE LOS CARBONES NACIONALES PULVERIZADOS EN QUEMADORES INDUSTRIALES.,INGENIERIA Y TECNOLOGIA,INGENIERIA MECANICA,INGENIERIA 1,12,PERSONA NATURAL,ALEJANDRO ALFREDO SAEZ CARRENO,HOMBRE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,CENTRO,REGION DE VALPARAISO,450,NA,Miles de pesos (M$),SIN INFORMACION
