N,CODIGO_PROYECTO,SUBDIRECCION,PROGRAMA,INSTRUMENTO,NOMBRE_CONCURSO,AGNO_CONCURSO,AGNO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA_MINCIENCIA,REGION_EJECUCION,MONTO_ADJUDICADO,NOTA_MONTO,MONEDA,PALABRAS_CLAVES
8671,7010258,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,INHIBICION ESPECIFICA DE LA ACCION DE ETILENO Y SU INFLUENCIA SOBRE MADURACION EN FRUTOS CLIMATERICOS Y NO CLIMATERICOS. POSIBILIDADES DE APLICACION EN CALIDAD DE FRUTA,CIENCIAS AGRICOLAS,FISIOLOGIA VEGETAL,AGRONOMIA,48,PERSONA NATURAL,JULIO ARTURO RETAMALES ARANDA,HOMBRE,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS (INIA),RM,REGION METROPOLITANA DE SANTIAGO,3200,NA,Miles de pesos (M$),SIN INFORMACION
8672,7010270,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,ESTUDIO DEL REMODELAMIENTO DE PROTOZOOS PARASITOS. CARACTERIZACION MOLECULAR Y BIOQUIMICA DE LA FOSFATASA DE PROTEINA TIPO 2A DE TRYPANOSOMA CRUZI,CIENCIAS NATURALES,PARASITOLOGIA,BIOLOGIA 2,24,PERSONA NATURAL,JORGE ALEJANDRO GONZALEZ CORTES,HOMBRE,UNIVERSIDAD DE ANTOFAGASTA,NORTE,REGION DE ANTOFAGASTA,3200,NA,Miles de pesos (M$),SIN INFORMACION
8673,7010282,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,TECNOLOGIAS TEXTILES PRECOLOMBINAS DE LOS ANDES SU REGISTROREPRODUCCIONCLASIFICACION Y DIFUSION HACIA LA CULTURA CONTEMPORANEA RELACIONES ENTRE CONFIGURACION VISUAL Y TECNOLOGIAS EMPLEADAS,CIENCIAS SOCIALES,ARQUITECTURA URBANISMO GEOGRAFIA Y ARTES,ARQ.URB.GEOGR.Y AR,24,PERSONA NATURAL,MARIA SOLEDAD HOCES DE LA GUARDIA CHELLEW,MUJER,FUNDACION FAMILIA LARRAIN ECHEÑIQUE-MUSEO CHILENO DE ARTE PRECOLOMBINO,RM,REGION METROPOLITANA DE SANTIAGO,1700,NA,Miles de pesos (M$),SIN INFORMACION
8674,7010289,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,MUERTE Y TEMPORALIDAD EN MARTIN HEIDEGGER LA FUNCION METODICA DE LA MUERTE EN SER Y TIEMPO,HUMANIDADES,FILOSOFIA,FILOSOFIA,24,PERSONA NATURAL,GUSTAVO VICTOR CATALDO SANGUINETTI,HOMBRE,UNIVERSIDAD ANDRES BELLO,RM,REGION METROPOLITANA DE SANTIAGO,3400,NA,Miles de pesos (M$),SIN INFORMACION
8675,7010305,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,DISENO SINTESIS Y CARACTERIZACION DE MATERIALES CON PROPIEDADES FISICAS MODULABLES BASADOS EN OXIDOS Y OXICLORUROS DE RENIO Y METALES DE TRANSICION TRANSICION INTERNA Y POST TRANSICIONALES.,CIENCIAS NATURALES,QUIMICA INORGANICA,QUIMICA,36,PERSONA NATURAL,CARLOS EDUARDO MUJICA ROJAS,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,REGION DE ANTOFAGASTA,3400,NA,Miles de pesos (M$),SIN INFORMACION
8676,7010320,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,ESPECIACION DE ARSENICO EN MATRICES SOLIDAS MEDIANTE ACOPLAMIENTO DE CROMATOGRAFIA LIQUIDA DE ALTA RESOLUCION-GENERACION DE HIDRURO Y DETECCION POR ESPECTROSCOPIA DE FLUORESCENCIA ATOMICA,CIENCIAS NATURALES,QUIMICA,QUIMICA 2,36,PERSONA NATURAL,HUGO OSVALDO PINOCHET CANCINO,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CENTRO,REGION DE VALPARAISO,4844,NA,Miles de pesos (M$),SIN INFORMACION
8677,7010327,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,ARQUEOLOGIA DEL SISTEMA VIAL DE LOS INKAS EN EL ALTO LOA II REGION,CIENCIAS SOCIALES,ANTROPOLOGIA Y ARQUEOLOGIA,ANTROP. Y ARQUE,48,PERSONA NATURAL,JOSE ANGEL BERENGUER RODRIGUEZ,HOMBRE,FUNDACION FAMILIA LARRAIN ECHEÑIQUE-MUSEO CHILENO DE ARTE PRECOLOMBINO,RM,REGION METROPOLITANA DE SANTIAGO,3221,NA,Miles de pesos (M$),SIN INFORMACION
8678,7010354,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,ANALISIS TEORICO - EXPERIMENTAL DE LA ESTABILIDAD TERMICA DEL FLUJO DE GAS CON GENERACION INTERNA DE ENERGIA EN MEDIOS  POROSOS INERTES,INGENIERIA Y TECNOLOGIA,INGENIERIA MECANICA,INGENIERIA 1,48,PERSONA NATURAL,VALERI IVANOVICH BUBNOVICH SSA,HOMBRE,UNIVERSIDAD DE SANTIAGO DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,6800,NA,Miles de pesos (M$),SIN INFORMACION
8679,7010400,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,ESTUDIO DEL FLUJO LAMINAR INESTABLE Y LA TRANSFERENCIA DE CALOR EN CANALES CON BARRAS UBICADAS TRANSVERSALMENTE A LA DIRECCION DEL FLUJO,INGENIERIA Y TECNOLOGIA,INGENIERIA MECANICA,INGENIERIA 1,24,PERSONA NATURAL,ALVARO ALEJANDRO VALENCIA MUSALEM,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,1200,NA,Miles de pesos (M$),SIN INFORMACION
8680,7010402,PROYECTOS DE INVESTIGACION,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,INCENTIVO A LA COOPERACION INTERNACIONAL 2001,2001,2001,FLUID-SOLID INTERACTIONS THEORETICAL AND NUMERICAL ASPECTS,CIENCIAS NATURALES,ANALISIS,MATEMATICAS,48,PERSONA NATURAL,JORGE ALONSO SAN MARTIN HERMOSILLA,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,6800,NA,Miles de pesos (M$),SIN INFORMACION
