N,CODIGO_PROYECTO,SUBDIRECCION,PROGRAMA,INSTRUMENTO,NOMBRE_CONCURSO,AGNO_CONCURSO,AGNO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA_MINCIENCIA,REGION_EJECUCION,MONTO_ADJUDICADO,NOTA_MONTO,MONEDA
40376,AUB2300001,CENTROS E INVESTIGACION ASOCIATIVA,PIA,TIEMPO DE BUQUE OCEANOGRAFICO,CONCURSO DE ASIGNACION DE TIEMPO DE BUQEUE OCEANOGRAFICO 2023,2023,2023,FLORACIONES ALGALES NOCIVAS EN SISTEMA DE FIORDOS INFLUENCIADOS POR GLACIARES – PATAGONIA EN UN ESCENARIO DE OCEANO CAMBIANTE (ICEFAN),CIENCIAS NATURALES,NA,NO APLICA,1,PERSONA JURIDICA,JOSE IRIARTE MACHUCA,HOMBRE,UNIVERSIDAD AUSTRAL DE CHILE,SUR,REGIÓN DE LOS RÍOS,0,NA,NA
40377,EQM230003,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,EXPANSION Y ACTUALIZACION DE EQUIPO ELECTROFISIOLOGICO PARA EL LABORATORIO DE NEUROCIENCIA COGNITIVA DE LA UNIVERSIDAD CATOLICA DEL NORTE.,CIENCIAS SOCIALES,NA,NA,18,PERSONA JURIDICA,MARCOS DOMIC SIEDE,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,REGIÓN DE ANTOFAGASTA,73393,NA,Miles de pesos (M$)
40378,EQM230017,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,ADQUISICION DE UN EQUIPO DE DIFRACCION DE RAYOS-X PARA LA UNIDAD DE EQUIPAMIENTO CIENTIFICO MAINI® DE LA UNIVERSIDAD CATOLICA DEL NORTE PARA FORTALECER LAS CAPACIDADES ANALITICAS EN LA MACRO-ZONA NORTE DE CHILE.,CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,ANDREA VASQUEZ ZAPATA,MUJER,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,REGIÓN DE ANTOFAGASTA,379473,NA,Miles de pesos (M$)
40379,EQM230037,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,"ADQUISICION DE UN ESPECTROMETRO DE RESONANCIA MAGNETICA NUCLEAR (RMN), PARA EL APOYO Y FORTALECIMIENTO DE LA INVESTIGACION INTER- Y MULTIDISCIPLINARIA EN LA REGION DE ANTOFAGASTA Y LA MACROZONA NORTE.",INGENIERIA Y TECNOLOGIA,NA,NA,18,PERSONA JURIDICA,JONATHAN CISTERNA GARCIA,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,REGIÓN DE ANTOFAGASTA,311239,NA,Miles de pesos (M$)
40380,R23F0001,CENTROS E INVESTIGACION ASOCIATIVA,REGIONAL,APOYO CENTROS REGIONALES,FORTALECIMIENTO AL DESARROLLO CIENTIFICO Y TECNOLOGICO DE CENTROS REGIONALES 2023,2023,2023,“INVESTIGACION Y DESARROLLO EN EL USO DE H2V DESDE LA REGION DE ANTOFAGASTA”,INGENIERIA Y TECNOLOGIA,NA,NA,48,PERSONA JURIDICA,LINDLEY MAXWELL VILLACORTA,HOMBRE,CENTRO DE INVESTIGACION CIENTIFICO TECNOLOGICO PARA LA MINERIA,NORTE,REGIÓN DE ANTOFAGASTA,2051972,NA,Miles de pesos (M$)
40381,ATE230067,CENTROS E INVESTIGACION ASOCIATIVA,PIA,ANILLOS EN AREAS TEMATICAS,ANILLOS DE INVESTIGACION EN AREAS TEMATICAS ESPECIFICAS 2023,2023,2023,AQUAUPRESILIENCE: ENHANCING AQUACULTURE RESILIENCE TO UPWELLING INTENSIFICATION THROUGH NOVEL MITIGATION AND ADAPTATION STRATEGIES BASED ON HOST-MICROBIOTA INTERACTIONS,CIENCIAS NATURALES,NA,NA,36,PERSONA JURIDICA,CARLOS HENRIQUEZ CASTILLO,HOMBRE,CENTRO DE ESTUDIOS AVANZADOS EN ZONAS ARIDAS,CENTRO,REGIÓN DE COQUIMBO,609000,NA,Miles de pesos (M$)
40382,EQM230020,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,FORTALECIMIENTO DE LAS CAPACIDADES DE INVESTIGACION EN QUIMICAS Y APOYO AL DESARROLLO DE CAPITAL HUMANO AVANZADO MEDIANTE LA ADQUISICION DE UN ESPECTROMETRO DE RESONANCIA MAGNETICA NUCLEAR DE SOBREMESA EN LA REGION DE COQUIMBO,CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,SEBASTIAN PIZARRO SAN FRANCISCO,HOMBRE,UNIVERSIDAD DE LA SERENA,CENTRO,REGIÓN DE COQUIMBO,203512,NA,Miles de pesos (M$)
40383,ATE230053,CENTROS E INVESTIGACION ASOCIATIVA,PIA,ANILLOS EN AREAS TEMATICAS,ANILLOS DE INVESTIGACION EN AREAS TEMATICAS ESPECIFICAS 2023,2023,2023,"HACIA ESCUELAS Y COMUNIDADES SOSTENIBLES EN TERRITORIOS RURALES EN CRISIS SOCIOAMBIENTAL


",CIENCIAS SOCIALES,NA,NA,36,PERSONA JURIDICA,CARMEN NUÑEZ MUÑOZ,MUJER,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CENTRO,REGIÓN DE VALPARAÍSO,243000,NA,Miles de pesos (M$)
40384,ATE230072,CENTROS E INVESTIGACION ASOCIATIVA,PIA,ANILLOS EN AREAS TEMATICAS,ANILLOS DE INVESTIGACION EN AREAS TEMATICAS ESPECIFICAS 2023,2023,2023,CLIMATE PLURIVERSES: A DECOLONIAL PERSPECTIVE OF GEOHUMANITIES FOR THE DESIGN OF ALTERNATIVE TERRITORIES IN CONTEXTS OF CLIMATE CHANGE,CIENCIAS SOCIALES,NA,NA,36,PERSONA JURIDICA,PABLO MANSILLA QUIÑONES,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CENTRO,REGIÓN DE VALPARAÍSO,448500,NA,Miles de pesos (M$)
40385,AFB230003,CENTROS E INVESTIGACION ASOCIATIVA,PIA,APOYO CENTROS CYT FINANCIAMIENTO BASAL,APOYO A CENTROS CIENTIFICOS Y TECNOLOGICOS DE EXCELENCIA CON FINANCIAMIENTO BASAL 2023,2023,2023,APOYO BASAL 2023 CCTVAL,MULTIDISCIPLINARIO,NA,NA,24,PERSONA JURIDICA,WILLIAM BROOKS,HOMBRE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,CENTRO,REGIÓN DE VALPARAÍSO,2732182,NA,Miles de pesos (M$)
40386,R23F0003,CENTROS E INVESTIGACION ASOCIATIVA,REGIONAL,APOYO CENTROS REGIONALES,FORTALECIMIENTO AL DESARROLLO CIENTIFICO Y TECNOLOGICO DE CENTROS REGIONALES 2023,2023,2023,ECOLOGICAL INTENSIFICATION OF AGRICULTURE: SUPPORTING TRANSITION TO SUSTAINABLE AGRI-FOOD SYSTEMS RESILIENT TO CLIMATE CHANGE,CIENCIAS AGRICOLAS,NA,NA,48,PERSONA JURIDICA,CARLOS HUENCHULEO PEDREROS,HOMBRE,CENTRO CERES,CENTRO,REGIÓN DE VALPARAÍSO,2051657,NA,Miles de pesos (M$)
40387,EQM230067,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,FORTALECIMIENTO DE LAS CAPACIDADES ESPECTROSCOPICAS DE LA REGION DE VALPARAISO MEDIANTE LA ADQUISICION DE UN SISTEMA RAMAN TRANSPORTABLE DE ALTA RESOLUCION PARA REALIZAR MEDIDAS EXPERIMENTALES IN SITU.,CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,FREDDY CELIS BOZO,HOMBRE,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,CENTRO,REGIÓN DE VALPARAÍSO,238411,NA,Miles de pesos (M$)
40388,EQM230146,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,MICRO TURBINA A GAS: EQUIPAMIENTO CIENTIFICO-TECNOLOGICO PARA DESARROLLAR SISTEMAS DE GENERACION ELECTRICA EN BASE A COMBUSTIBLES VERDES,INGENIERIA Y TECNOLOGIA,NA,NA,18,PERSONA JURIDICA,MARIO TOLEDO TORRES,HOMBRE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,CENTRO,REGIÓN DE VALPARAÍSO,163228,NA,Miles de pesos (M$)
40389,EQM230155,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,"""ADQUISICION DE UN MICROSCOPIO CONFOCAL DE ULTIMA GENERACION PARA LA INVESTIGACION BIOMEDICA DE EXCELENCIA EN LA UNIVERSIDAD Y REGION DE VALPARAISO""",CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,ANA CARDENAS DIAZ,MUJER,UNIVERSIDAD DE VALPARAISO,CENTRO,REGIÓN DE VALPARAÍSO,400000,NA,Miles de pesos (M$)
40390,EQM230165,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,UNA PLATAFORMA PARA LA PROSPECCION DE LOS RECURSOS GENOMICOS DE FUENTES NATURALES Y DE LOS MODELOS DE ESTUDIO EN BIOCIENCIAS DE LA REGION DE VALPARAISO.,CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,CLAUDIA IBACACHE QUIROGA,MUJER,UNIVERSIDAD DE VALPARAISO,CENTRO,REGIÓN DE VALPARAÍSO,224175,NA,Miles de pesos (M$)
40391,EQM230181,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,PLATAFORMA EXPERIMENTAL DE VEHICULOS AUTONOMOS A ESCALA PARA EL ESTUDIO DE PELOTONES Y SISTEMAS MULTIAGENTES,INGENIERIA Y TECNOLOGIA,NA,NA,18,PERSONA JURIDICA,FRANCISCO VARGAS PARRA,HOMBRE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,CENTRO,REGIÓN DE VALPARAÍSO,247667,NA,Miles de pesos (M$)
40392,R23F0004,CENTROS E INVESTIGACION ASOCIATIVA,REGIONAL,APOYO CENTROS REGIONALES,FORTALECIMIENTO AL DESARROLLO CIENTIFICO Y TECNOLOGICO DE CENTROS REGIONALES 2023,2023,2023,MULTIDISCIPLINARY STUDY OF TECHNOLOGICAL PROCESSING TO IMPROVE THE FUNCTIONAL AND HEALTHY PROPERTIES OF WINE AND BEER BAGASSE OF VALPARAISO REGION,INGENIERIA Y TECNOLOGIA,NA,NA,48,PERSONA JURIDICA,CARMEN SOTO MALDONADO,MUJER,CENTRO REGIONAL DE ESTUDIOS EN ALIMENTOS SALUDABLES,CENTRO,REGIÓN DE VALPARAÍSO,2051990,NA,Miles de pesos (M$)
40393,NCN2023_004,CENTROS E INVESTIGACION ASOCIATIVA,MILENIO,NUCLEO EN CIENCIAS NATURALES Y EXACTAS,NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2023,2023,2023,NUCLEO MILENIO PARA LA ECOLOGIA Y CONSERVACION DE LOS ECOSISTEMAS DE ARRECIFES MESOFOTICOS TEMPLADOS,CIENCIAS NATURALES,NA,NA,36,PERSONA NATURAL,ALEJANDRO PEREZ MATUS,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,CENTRO,REGIÓN DE VALPARAÍSO,614000,NA,Miles de pesos (M$)
40394,NCN2023_054,CENTROS E INVESTIGACION ASOCIATIVA,MILENIO,NUCLEO EN CIENCIAS NATURALES Y EXACTAS,NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2023,2023,2023,"BIOPRODUCTOS, GENOMICA Y MICROBIOLOGIA AMBIENTAL",CIENCIAS NATURALES,NA,NA,36,PERSONA NATURAL,MICHAEL SEEGER PFEIFFER,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,CENTRO,REGIÓN DE VALPARAÍSO,614000,NA,Miles de pesos (M$)
40395,EQM230002,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,FORTALECIMIENTO DE LA INVESTIGACION Y FORMACION CIENTIFICA EN LA UNIVERSIDAD DE O´HIGGINS MEDIANTE LA INCORPORACION DE UN ESPECTROMETRO DE FLUORESCENCIA DE RAYOS X DISPERSIVO DE LONGITUDES DE ONDA,MULTIDISCIPLINARIO,NA,NA,18,PERSONA JURIDICA,CARLOS TASSARA,HOMBRE,UNIVERSIDAD DE O'HIGGINS,CENTRO SUR,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,373767,NA,Miles de pesos (M$)
40396,EQM230041,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,CONTROL DISTRIBUIDO DE SISTEMAS DE CONVERSION EMERGENTES PARA UNA RED ELECTRICA MAS RESILIENTE,INGENIERIA Y TECNOLOGIA,NA,NA,18,PERSONA JURIDICA,MIGUEL TORRES,HOMBRE,UNIVERSIDAD DE O'HIGGINS,CENTRO SUR,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,394562,NA,Miles de pesos (M$)
40397,R23F0002,CENTROS E INVESTIGACION ASOCIATIVA,REGIONAL,APOYO CENTROS REGIONALES,FORTALECIMIENTO AL DESARROLLO CIENTIFICO Y TECNOLOGICO DE CENTROS REGIONALES 2023,2023,2023,TOWARDS A SUSTAINABLE FRUIT PRODUCTION: DECIPHERING THE EFFECT OF ROOTSTOCK X SCION INTERACTION ON THE ADAPTABILITY OF STONE FRUIT TREES (PRUNUS SPP.) TO CLIMATE CHANGE,CIENCIAS AGRICOLAS,NA,NA,48,PERSONA JURIDICA,MAURICIO ORTIZ LIZANA,HOMBRE,CENTRO DE ESTUDIOS AVANZADOS EN FRUTICULTURA,CENTRO SUR,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2051972,NA,Miles de pesos (M$)
40398,ATE230028,CENTROS E INVESTIGACION ASOCIATIVA,PIA,ANILLOS EN AREAS TEMATICAS,ANILLOS DE INVESTIGACION EN AREAS TEMATICAS ESPECIFICAS 2023,2023,2023,BIODIVERSITY FROM COAST TO MOUNTAINS: A SOCIO-ENVIRONMENTAL STUDY OF RURAL COMMUNITIES’ (ECO)2-CULTURAL PRACTICES IN A SCENARIO OF CLIMATE CHANGE,CIENCIAS NATURALES,NA,NA,36,PERSONA JURIDICA,ENRIQUE MUNDACA ORTEGA,HOMBRE,UNIVERSIDAD CATOLICA DEL MAULE,CENTRO SUR,REGIÓN DEL MAULE,448500,NA,Miles de pesos (M$)
40399,EQM230060,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,"ADQUISICION DE UNA PLATAFORMA TRIBOLOGICA, BIOELECTRICA, BIOMAGNETICA Y REOLOGICA PARA LA CARACTERIZACION, DESARROLLO E INVESTIGACION DE MATERIALES BIOMEDICOS, ALIMENTARIOS Y BIOFLUIDOS.",INGENIERIA Y TECNOLOGIA,NA,NA,18,PERSONA JURIDICA,ESTEBAN DURAN LARA,HOMBRE,UNIVERSIDAD DE TALCA,CENTRO SUR,REGIÓN DEL MAULE,227240,NA,Miles de pesos (M$)
40400,1523A0001,CENTROS E INVESTIGACION ASOCIATIVA,FONDAP,APOYO CENTROS AREAS PRIORITARIAS,CONCURSO DE APOYO A CENTROS DE EXCELENCIA EN INVESTIGACION EN AREAS PRIORITARIAS – FONDAP 2023,2023,2023,"WATER RESEARCH CENTER FOR AGRICULTURE AND MINING (CRHIAM)


",MULTIDISCIPLINARIO,NA,NA,24,PERSONA JURIDICA,GLADYS VIDAL SAEZ,MUJER,UNIVERSIDAD DE CONCEPCION,CENTRO SUR,REGIÓN DEL BIOBÍO,2247000,NA,Miles de pesos (M$)
40401,1523A0007,CENTROS E INVESTIGACION ASOCIATIVA,FONDAP,APOYO CENTROS AREAS PRIORITARIAS,CONCURSO DE APOYO A CENTROS DE EXCELENCIA EN INVESTIGACION EN AREAS PRIORITARIAS – FONDAP 2023,2023,2023,INTERDISCIPLINARY CENTER FOR AQUACULTURE RESEARCH (INCAR),MULTIDISCIPLINARIO,NA,NA,24,PERSONA JURIDICA,RENATO QUIÑONES BERGERET,HOMBRE,UNIVERSIDAD DE CONCEPCION,CENTRO SUR,REGIÓN DEL BIOBÍO,2247000,NA,Miles de pesos (M$)
40402,EQY230021,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MAYOR,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MAYOR 2023,2023,2023,"ADVANCING PRECISION MEDICINE RESEARCH IN SOUTHERN CHILE THROUGH A GENETIC PLATFORM: PREDICTIVE AND PROGNOSTIC BIOMARKERS, NOVEL TREATMENTS, AND THERAPEUTIC TARGET DISCOVERY",CIENCIAS MEDICAS Y DE LA SALUD,NA,NA,60,PERSONA JURIDICA,FELIPE ZUÑIGA ARBALTI,HOMBRE,UNIVERSIDAD DE CONCEPCION,CENTRO SUR,REGIÓN DEL BIOBÍO,884075,NA,Miles de pesos (M$)
40403,EQM230027,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,IMPLEMENTACION DE UN ANALIZADOR TERMOMECANICO DINAMICO MULTIANALISIS UV-HR-ME EN EL PRODIMA-LAB DE LA UNIVERSIDAD DEL BIO-BIO PARA APOYAR Y FORTALECER LA INVESTIGACION EN MATERIALES A NIVEL NACIONAL E INTERNACIONAL.,INGENIERIA Y TECNOLOGIA,NA,NA,18,PERSONA JURIDICA,MARIO NUÑEZ DECAP,HOMBRE,UNIVERSIDAD DEL BIO-BIO,CENTRO SUR,REGIÓN DEL BIOBÍO,399326,NA,Miles de pesos (M$)
40404,EQM230050,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,PLATAFORMA METROLOGICA PARA CALIBRACION DE VARIABLES OCEANOGRAFICAS FUNDAMENTALES (PMCIO),CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,OSCAR PIZARRO ARRIAGADA,HOMBRE,UNIVERSIDAD DE CONCEPCION,CENTRO SUR,REGIÓN DEL BIOBÍO,350500,NA,Miles de pesos (M$)
40405,EQM230094,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,"SISTEMA DE ADQUISICION DE IMAGENES HIPERESPECTRALES DE REFLECTANCIA Y TRANSMITANCIA EN LA REGION DEL INFRARROJO CERCANO (NIR) PARA ESTUDIOS DE CLASIFICACION, DISTRIBUCION Y CUANTIFICACION DE COMPONENTES QUIMICOS DE RECURSOS NATURALES",CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,ROSARIO CASTILLO FELICES,MUJER,UNIVERSIDAD DE CONCEPCION,CENTRO SUR,REGIÓN DEL BIOBÍO,87025,NA,Miles de pesos (M$)
40406,R23F0005,CENTROS E INVESTIGACION ASOCIATIVA,REGIONAL,APOYO CENTROS REGIONALES,FORTALECIMIENTO AL DESARROLLO CIENTIFICO Y TECNOLOGICO DE CENTROS REGIONALES 2023,2023,2023,RECYCLE-SAFE: ADVANCED SUSTAINABLE AND SAFE SOLUTIONS FOR RECYCLING PLASTIC PACKAGING,MULTIDISCIPLINARIO,NA,NA,48,PERSONA JURIDICA,SADDYS RODRIGUEZ LLAMAZARES,MUJER,CENTRO DE INVESTIGACION DE POLIMEROS AVANZADOS,CENTRO SUR,REGIÓN DEL BIOBÍO,2051991,NA,Miles de pesos (M$)
40407,NCN2023_002,CENTROS E INVESTIGACION ASOCIATIVA,MILENIO,NUCLEO EN CIENCIAS NATURALES Y EXACTAS,NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2023,2023,2023,NUCLEO MILENIO TECNOLOGIA Y INVESTIGACION TRANSVERSAL PARA ESTUDIAR AGUJEROS NEGROS,CIENCIAS NATURALES,NA,NA,36,PERSONA NATURAL,NEIL MARK NAGAR,HOMBRE,UNIVERSIDAD DE CONCEPCION,CENTRO SUR,REGIÓN DEL BIOBÍO,614000,NA,Miles de pesos (M$)
40408,EQY230005,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MAYOR,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MAYOR 2023,2023,2023,"A STEP DOWN FOR A STEP UP IN FRONTIER KNOWLEDGE: STRENGTHENING INTERREGIONAL RESEARCH ON ULTRASTRUCTURE AND NANOSTRUCTURED MATERIALS


",MULTIDISCIPLINARIO,NA,NA,60,PERSONA JURIDICA,MARCELA CALABI FLOODY,MUJER,UNIVERSIDAD DE LA FRONTERA,SUR,REGIÓN DE LA ARAUCANÍA,912232,NA,Miles de pesos (M$)
40409,EQM230105,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,"SI EL RIO NO VA AL LABORATORIO, EL LABORATORIO VA AL RIO: MEDICION MOVIL DE ISOTOPOS PARA CARACTERIZAR LAS FUENTES DE ESCORRENTIA EN CUENCAS DE MONTAÑA",CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,MARCELO SOMOS VALENZUELA,HOMBRE,UNIVERSIDAD DE LA FRONTERA,SUR,REGIÓN DE LA ARAUCANÍA,206069,NA,Miles de pesos (M$)
40410,EQM230107,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,ADQUISICION DE UN SISTEMA PORTATIL DE ANALISIS DE GASES CO2/H2O EN TIEMPO REAL: UN LABORATORIO MOVIL PARA EL ESTUDIO MULTIDISCIPLINAR EN BIORECURSOS.,MULTIDISCIPLINARIO,NA,NA,18,PERSONA JURIDICA,EMILIO JORQUERA FONTENA,HOMBRE,UNIVERSIDAD CATOLICA DE TEMUCO,SUR,REGIÓN DE LA ARAUCANÍA,118942,NA,Miles de pesos (M$)
40411,EQM230139,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,POTENCIANDO LA INVESTIGACION TRASLACIONAL EN LA MACROZONA AUSTRAL A TRAVES DE UNA TECNOLOGIA DE VANGUARDIA: IMPLEMENTACION DE UN CITOMETRO DE FLUJO ESPECTRAL PARA UN ANALISIS CIENTIFICO MEJORADO.,CIENCIAS MEDICAS Y DE LA SALUD,NA,NA,18,PERSONA JURIDICA,RODRIGO VALENZUELA BASSI,HOMBRE,UNIVERSIDAD DE AYSEN,AUSTRAL,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,353538,NA,Miles de pesos (M$)
40412,EQM230010,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,"IMPLEMENTACION DE PLATAFORMA MICRO-CT PARA


POTENCIAR EL DESARROLLO CIENTIFICO MULTIDISCIPLINAR EN LA MACROZONA SUR",CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,CRISTINE TREVISAN,MUJER,INSTITUTO ANTARTICO CHILENO,AUSTRAL,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,399939,NA,Miles de pesos (M$)
40413,CTI230006,CENTROS E INVESTIGACION ASOCIATIVA,FONDAP,APOYO AL FORTALECIMIENTO ID,APOYO AL FORTALECIMIENTO A LAS CAPACIDADES PARA I+D 2023,2023,2023,"CONSOLIDACION DE LA OFERTA DE VALOR DEL CENTRO, DESARROLLADAS Y EJECUTADAS EN EL ULTIMO AÑO, QUE CONTRIBUYEN A IMPULSAR LA TRANSFORMACION DIGITAL EN EL SECTOR SALUD.",MULTIDISCIPLINARIO,NA,NA,24,PERSONA JURIDICA,MAY CHOMALI GARIB,MUJER,CENTRO NACIONAL EN SISTEMAS DE INFORMACION EN SALUD,RM,REGIÓN METROPOLITANA DE SANTIAGO,1126179,NA,Miles de pesos (M$)
40414,CTI230003,CENTROS E INVESTIGACION ASOCIATIVA,FONDAP,APOYO AL FORTALECIMIENTO ID,APOYO AL FORTALECIMIENTO A LAS CAPACIDADES PARA I+D 2023,2023,2023,CONTINUIDAD CENTRO MERIC - PROYECTO PUENTE,INGENIERIA Y TECNOLOGIA,NA,NA,24,PERSONA JURIDICA,RODRIGO PAREDES BARRIA,HOMBRE,ENERGIA MARINA SPA,RM,REGIÓN METROPOLITANA DE SANTIAGO,941238,NA,Miles de pesos (M$)
40415,CTI230005,CENTROS E INVESTIGACION ASOCIATIVA,FONDAP,APOYO AL FORTALECIMIENTO ID,APOYO AL FORTALECIMIENTO A LAS CAPACIDADES PARA I+D 2023,2023,2023,FORTALECIMIENTO I+D 2023 UC DAVIS CHILE CENTER,CIENCIAS AGRICOLAS,NA,NA,24,PERSONA JURIDICA,JUAN LADRON DE GUEVARA GONZALEZ,HOMBRE,FUNDACION UC DAVIS,RM,REGIÓN METROPOLITANA DE SANTIAGO,1485110,NA,Miles de pesos (M$)
