CODIGO_PROYECTO;N;SUBDIRECCION;PROGRAMA_CONICYT;INSTRUMENTO;NOMBRE_CONCURSO;ANO_CONCURSO;ANO_FALLO;NOMBRE_PROYECTO;AREA_OCDE;DISCIPLINA_DETALLE;GRUPO_DE_EVALUACION;DURACION_MESES;TIPO_BENEFICIARIO;NOMBRE_RESPONSABLE;SEXO;INSTITUCION_PRINCIPAL;MACROZONA MINCIENCIA (segUn ax);REGION_EJECUCION;MONTO ADJUDICADO (MILES $);M$_SINFO_NOSOLICITA
NCN19_058;1263;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;MILLENNIUM NUCLEUS FOR TRANSVERSAL RESEARCH AND TECHNOLOGY TO EXPLORE SUPERMASSIVE BLACK HOLES;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;NEIL MARK NAGAR;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO;;No terminado
NCN19_153;1358;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;MILLENIUM NUCLEUS UPWELL: UNDERSTANDING PAST COASTAL UPWELLING SYSTEM AND ENVIRONMENTAL LOCAL AND LASTING IMPACTS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;EUGENIA MONSERRAT GAYO HERNANDEZ;MUJER;NO APLICA;SUR;REGION DEL BIOBIO;;No terminado
NCN19_161;1366;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;MILLENNIUM NUCLEUS FOR APPLIED CONTROL AND INVERSE PROBLEMS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;EDUARDO CERPA JERIA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICN19_015;1386;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO INSTITUTO MILENIO CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;COASTAL SOCIAL-ECOLOGICAL MILLENNIUM INSTITUTE (SECOS);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;STEFAN GELCICH CROSSLEY;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICN19_044;1415;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO INSTITUTO MILENIO CIENCIAS NATURALES Y EXACTAS 2019;2019;2020;MILLENNIUM INSTITUTE FOR SUBATOMIC PHYSICS AT THE HIGH-ENERGY FRONTIER;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;SERGEY KULESHOV VALENTINOVNA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICS19_024;1441;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS SOCIALES;CONCURSO INSTITUTO MILENIO CIENCIAS SOCIALES 2019;2019;2020;MILLENNIUM INSTITUTE FOR CAREGIVING RESEARCH;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;CLAUDIA MIRANDA CASTILLO;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICS19_025;1442;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS SOCIALES;CONCURSO INSTITUTO MILENIO CIENCIAS SOCIALES 2019;2019;2020;MILLENIMUM INSTITUTE ON VIOLENCE AND DEMOCRACY RESEARCH;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;HELENE RISOR RISOR;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN21_010;1469;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENNIUM NUCLEUS FOR THE DEVELOPMENT OF SUPER ADAPTABLE PLANTS (MN-SAP);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;JOSE MANUEL ESTEVEZ LOPEZ RUIZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN21_017;1476;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENIUM NUCLEUS FOR THE EVOLUTIONARY RECONSTRUCTION OF THE INTERSTELLAR MEDIUM;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;PAULA JOFRE PFEIL;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN21_021;1480;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;NUCLEOUS IN NANOBIOPHYSICS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;JOSE GARATE CHATEAU;HOMBRE;NO APLICA;CENTRO;REGION DE VALPARAISO;;No terminado
NCN21_033;1492;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENIUM NUCLEUS MARINE AGRONOMY OF SEAWEED HOLOBIONTS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;CAROLINA CAMUS TORRES;MUJER;NO APLICA;SUR;REGION DE LOS LAGOS;;No terminado
NCN21_050;1509;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENIUM NUCLEUS OF PATAGONIAN LIMIT-OF-LIFE: ENVIRONMENTAL CONSTRAINTS ON GENETICS AND ECOPHYSIOLOGY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ROBERTO NESPOLO ROSSI;HOMBRE;NO APLICA;SUR;REGION DE LOS RIOS;;No terminado
NCN21_056;1515;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENIUM NUCLEUS OF AUSTRAL INVASIVE SALMONIDS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;DANIEL GUILLERMO GOMEZ UCHIDA;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO;;No terminado
NCN21_080;1539;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENNIUM NUCLEUS ON YOUNG EXOPLANETS AND THEIR MOONS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;SEBASTIAN PEREZ MARQUEZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_003;1551;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;MILLENNIUM NUCLEUS FOR THE EVALUATION AND ANALYSIS OF DRUG POLICIES;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ALVARO ERNESTO CASTILLO CARNIGLIA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_013;1561;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;NUCLEO MILENIO DE SOCIOMEDICINA;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ESTEBAN CALVO BRALIC;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_014;1562;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;MILLENNIUM NUCLEUS FOR THE STUDY OF THE DEVELOPMENT OF EARLY MATH SKILLS;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MARIA INES SUSPERREGUY JORQUERA;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_033;1581;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;MILLENNIUM NUCLEUS ON THE EVOLUTION OF WORK;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;JEANNE LAFORTUNE .;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_040;1588;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;MILLENIUM NUCLEUS OCEAN, HERITAGE AND CULTURE;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MARIA ISABEL CARTAJENA FASTING;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_063;1611;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;CENTER FOR THE STUDY OF POLITICS, PUBLIC OPINION AND MEDIA IN CHILE;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;PATRICIO DANIEL NAVIA LUCERO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS21_072;1620;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE NUCLEOS MILENIO EN CIENCIAS SOCIALES 2021;2021;2021;MILLENNIUM NUCLEUS ON INTERGENERATIONAL MOBILITY: FROM MODELLING TO POLICY;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ERNESTO JAVIER SAN MARTIN GUTIERREZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICN21_002;1630;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE INSTITUTOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENNIUM INSTITUTE BIODIVERSITY OF ANTARCTIC AND SUBANTARCTIC ECOSYSTEMS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;ELIE POULIN CHARMOLUE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICN21_004;1632;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE INSTITUTOS MILENIO EN CIENCIAS NATURALES Y EXACTAS 2021;2021;2021;MILLENNIUM INSTITUTE FOR INTELLIGENT HEALTHCARE ENGINEERING;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;CLAUDIA PRIETO VASQUEZ;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
