CODIGO_PROYECTO;N;SUBDIRECCION;PROGRAMA;INSTRUMENTO;NOMBRE_CONCURSO;AGNO_CONCURSO;AGNO_FALLO;NOMBRE_PROYECTO;AREA_OCDE;DISCIPLINA_DETALLE;GRUPO_DE_EVALUACION;DURACION_MESES;TIPO_BENEFICIARIO;NOMBRE_RESPONSABLE;SEXO;INSTITUCION_PRINCIPAL;MACROZONA_MINCIENCIA;REGION_EJECUCION;MONTO_ADJUDICADO (M$);NOTA_MONTO
NCS10_014-R13;53;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS 2010 NUCLEOS MILENIO EN CIENCIAS SOCIALES;2010;2011;NUCLEO MILENIO PARA EL ESTUDIO DE LA ESTATALIDAD Y LA DEMOCRACIA EN AMERICA LATINA;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;JUAN PABLO LUNA FARIÑA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;282879;
NCS10_017;54;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS 2010 NUCLEOS MILENIO EN CIENCIAS SOCIALES;2010;2011;CENTRO INTELIS;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;JOSE MIGUEL BENAVENTE HORMAZABAL;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;208379;
NCS10_018;55;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS 2010 NUCLEOS MILENIO EN CIENCIAS SOCIALES;2010;2011;INTERVENCION PSICOLOGICA Y CAMBIO EN DEPRESION;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MARIANE KRAUSE JACOB;MUJER;NO APLICA;RM;REGION METROPOLITANA;208379;
NCS10_022;56;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS 2010 NUCLEOS MILENIO EN CIENCIAS SOCIALES;2010;2011;CENTRO DE INVESTIGACION EN VULNERABILIDADES Y DESASTRES SOCIONATURALES;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;HUGO IVAN ROMERO ARAVENA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;208379;
NCN12_004-R16;57;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2012 NUCLEOS MILENIO EN CIENCIAS NATURALES;2012;2013;MILLENNIUM NUCLEUS CENTER FOR SEMANTIC WEB RESEARCH;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;MARCELO ARENAS SAAVEDRA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;660000;
NCN12_027;58;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2012 NUCLEOS MILENIO EN CIENCIAS NATURALES;2012;2013;MILLENNIUM NUCLEUS IN MOLECULAR ECOLOGY AND EVOLUTIONARY APPLICATIONS IN THE AGROECOSYSTEMS;CIENCIAS AGRICOLAS;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;CHRISTIAN FIGUEROA CARO;HOMBRE;NO APLICA;CENTRO SUR;REGION DEL MAULE;660000;
NCN12_030-R16;59;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2012 NUCLEOS MILENIO EN CIENCIAS NATURALES;2012;2013;MILENIUM NUCLEUS FOR ECOLOGY AND SUSTAINABLE MANAGEMENT OF OCEANIC ISLANDS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;CARLOS GAYMER;HOMBRE;NO APLICA;CENTRO;REGION DE COQUIMBO;;No terminado
NCN12_043-R16;60;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2012 NUCLEOS MILENIO EN CIENCIAS NATURALES;2012;2013;MILLENNIUM NUCLEUS FOR FUNGAL INTEGRATIVE AND SYNTHETIC BIOLOGY (FISB);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;LUIS FERNANDO LARRONDO CASTRO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;858118;
NCN12_062-R16;61;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2012 NUCLEOS MILENIO EN CIENCIAS NATURALES;2012;2013;MILLENIUM NUCLEUS STOCHASTIC MODELS OF DISORDERED AND COMPLEX SYSTEMS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;ALEJANDRO FRANCISCO RAMIREZ CHUAQUI;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN12_066;62;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2012 NUCLEOS MILENIO EN CIENCIAS NATURALES;2012;2013;MILLENNIUM NUCLEUS PALEO CLIMATE OF THE SOUTHERN HEMISPHERE;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MARIA HELOISA ROJAS CORRADI;MUJER;NO APLICA;RM;REGION METROPOLITANA;654118;
NCN12_082;63;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2012 NUCLEOS MILENIO EN CIENCIAS NATURALES;2012;2013;MILLENIUM NUCLEUS CHEMICAL PROCESSES AND CATALYSIS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ALEJANDRO TORO LABBE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;660000;
NCN12_086-R16;64;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2012 NUCLEOS MILENIO EN CIENCIAS NATURALES;2012;2013;MILLENIUM NUCLEUS CENTER FOR THE STUDY OF MULTIPLE DRIVERS ON MARINE SOCIO-ECOLOGICAL SYSTEMS (MUSELS);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;CRISTIAN VARGAS GALVEZ;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO;;No terminado
ICN09_009;65;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2012 INSTITUTOS MILENIO EN CIENCIAS NATURALES;2012;2013;MILLENNIUM INSTITUTE OF ASTROPHYSICS (MAS);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;MARIO ANDRES HAMUY WACKENHUT;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICN09_019;66;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2012 INSTITUTOS MILENIO EN CIENCIAS NATURALES;2012;2013;MILLENNIUM INSTITUTE FOR INTEGRATIVE OCEANOGRAPHY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;OSVALDO ULLOA QUIJADA;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO;;No terminado
NCN13_011;67;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS PARA NUCLEOS MILENIO EN CIENCIAS NATURALES Y SOCIALES;2013;2014;MILLENNIUM NUCLEUS BIOLOGY OF NEUROPSYCHIATRIC DISORDERS NU-MIND;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ANDRES CHAVEZ NAVARRETE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;612000;
NCN13_017;68;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS PARA NUCLEOS MILENIO EN CIENCIAS NATURALES Y SOCIALES;2013;2014;MILLENIUM NUCLEUS CENTER FOR THE ANALYSIS OF PARTIAL DIFFERENTIAL EQUATIONS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MANUEL DEL PINO MANRESA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;569452;
NCN13_030;69;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS PARA NUCLEOS MILENIO EN CIENCIAS NATURALES Y SOCIALES;2013;2014;MILLENNIUM NUCLEUS CENTER FOR PLANT SYSTEMS AND SYNTHETIC BIOLOGY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;RODRIGO GUTIERREZ ILABACA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN13_065-R17;70;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS PARA NUCLEOS MILENIO EN CIENCIAS NATURALES Y SOCIALES;2013;2014;MILLENNIUM NUCLEUS FOR METAL TRACING ALONG SUBDUCTION;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;MARTIN REICH MORALES;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS13_004-R17;71;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS PARA NUCLEOS MILENIO EN CIENCIAS NATURALES Y SOCIALES;2013;2014;MILENIUM NUCLEUS. CENTER FOR SOCIOECONOMIC IMPACT OF ENVIRONMENTAL POLICIES (CESIEP);CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;RODRIGO ARRIAGADA CISTERNAS;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS13_008;72;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS PARA NUCLEOS MILENIO EN CIENCIAS NATURALES Y SOCIALES;2013;2014;MILLENNIUM NUCLEUS ON CRITICAL CITIZENS, POLITICIZATION OF INEQUALITY AND INSTITUTIONS: CHILE'S POLITICAL REPRESENTATION IN COMPARATIVE PERSPECTIVE;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ROSSANA CASTIGLIONI NUÑEZ;MUJER;NO APLICA;RM;REGION METROPOLITANA;210000;
NCS13_017;73;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS PARA NUCLEOS MILENIO EN CIENCIAS NATURALES Y SOCIALES;2013;2014;MILLENIUM NUCLEUS MODELS OF CRISES: THE CHILEAN CASE;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ALDO MASCAREÑO LARA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;210000;
NCS13_024-R17;74;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS PARA NUCLEOS MILENIO EN CIENCIAS NATURALES Y SOCIALES;2013;2014;MILLENIUM NUCLEUS ON ENERGY AND SOCIETY RESEARCH (NUMIES);CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;SEBASTIAN URETA ICAZA / TOMAS ARIZTIA LARRAIN;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS13_028;75;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS PARA NUCLEOS MILENIO EN CIENCIAS NATURALES Y SOCIALES;2013;2014;MILLENIUM NUCLEUS IN ENTREPRENEURIAL STRATEGY UNDER UNCERTAINTY;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;STEPHEN XU ZHANG;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;210000;
ICS13_002;76;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS PARA INSTITUTOS MILENIO EN CIENCIAS SOCIALES;2013;2014;MILLENNIUM INSTITUTE FOR RESEARCH IN MARKET IMPERFECTIONS AND PUBLIC POLICY;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;JUAN FERNANDO ESCOBAR CASTRO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICS13_005;77;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS SOCIALES;CONCURSO DE PROYECTOS PARA INSTITUTOS MILENIO EN CIENCIAS SOCIALES;2013;2014;MILLENNIUM INSTITUTE FOR RESEARCH ON DEPRESSION AND PERSONALITY;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;MARIANE KRAUSE JACOB;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN16_006-R19;78;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEO EN CIENCIAS NATURALES Y EXACTAS 2016;2016;2016;MILLENIUM NUCLEUS FOR PLANET FORMATION;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;AMELIA BAYO ARAN;MUJER;NO APLICA;CENTRO;REGION DE VALPARAISO;;No terminado
NCN16_018-R19;79;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEO EN CIENCIAS NATURALES Y EXACTAS 2016;2016;2016;MILLENIUM NUCLEUS OF ION CHANNELS-ASSOCIATED DISEASES (MINICAD);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;OSCAR CERDA ARANCIBIA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN16_034;80;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEO EN CIENCIAS NATURALES Y EXACTAS 2016;2016;2016;MILLENIUM NUCLEUS OF INVASIVE SALMONIDS (INVASAL);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;DANIEL GOMEZ UCHIDA;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO;;No terminado
NCN16_058-R19;81;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEO EN CIENCIAS NATURALES Y EXACTAS 2016;2016;2016;MILLENNIUM NUCLEUS THE EARTHQUAKE CYCLE ALONG SUBDUCTION ZONES (CYCLO);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;DANIEL MELNICK D'ETIGNY;HOMBRE;NO APLICA;SUR;REGION DE LOS RIOS;;No terminado
NCN16_063;82;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEO EN CIENCIAS NATURALES Y EXACTAS 2016;2016;2016;MILLENNIUM NUCLEUS OF MULTIFUNCTIONAL MATERIALS FOR APPLIED SURFACE SCIENCE;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;EDGAR MOSQUERA VARGAS;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN16_097-R19;83;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEO EN CIENCIAS NATURALES Y EXACTAS 2016;2016;2016;MILLENNIUM NUCLEUS PHYSICS OF ACTIVE MATTER;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;RODRIGO SOTO BERTRAN;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN17_040-R21;84;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO EN PROCESOS CATALITICOS HACIA LA QUIMICA SUSTENTABLE;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;NESTOR ESCALONA BURGOS;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN17_059;85;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO CENTRO PARA EL DESCUBRIMIENTO DE ESTRUCTURAS EN DATOS COMPLEJOS ;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ALEJANDRO ANTONIO JARA VALLEJOS;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN17_079;86;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO PALEOCLIMA;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;PATRICIO IVAN MORENO MONCADA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN17_081;87;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO EN ENFOQUE INTERDISCIPLINARIO DE LA RESISTENCIA ANTIMICROBIANA ;MEDICINA Y CIENCIAS DE LA SALUD;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;JOSE MANUEL MUNITA SEPULVEDA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN17_092;88;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO EN METAMATERIALES MECANICOS SUAVES E INTELIGENTES;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;HUMBERTO PALZA CORDERO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN17_093;89;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO BIOLOGIA DE MICROBIOTA INTESTINAL;MEDICINA Y CIENCIAS DE LA SALUD;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;DANIEL GONZALO PAREDES SABJA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCN17_129;90;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO EN RESONANCIA MAGNETICA CARDIOVASCULAR;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;SERGIO ANDRES URIBE ARANCIBIA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS17_007;91;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO EL EJERCICIO DE LA AUTORIDAD EN LA SOCIEDAD CHILENA. REARTICULACIONES DE LA GESTION DE LAS ASIMETRIAS DE PODER EN LAS RELACIONES SOCIALES.;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;KATHYA ARAUJO KAKIUCHI;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS17_015;92;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO EN DESARROLLO SOCIAL;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;FABIAN ROLANDO DUARTE VASQUEZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS17_020-R21;93;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO, EXPERIENCIAS DE LOS ESTUDIANTES DE LA EDUCACION SUPERIOR EN CHILE: ¿POR QUE Y PARA QUE?;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;CARLOS GONZALEZ UGALDE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS17_021;94;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO ARTE, PERFORMATIVIDAD Y ACTIVISMO;HUMANIDADES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;MILENA GRASS KLEINER;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS17_027;95;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO MOVILIDADES Y TERRITORIOS;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;PAOLA ANDREA JIRON MARTINEZ;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS17_035-R21;96;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO PARA MEJORAR LA SALUD MENTAL DE ADOLESCENTES Y JOVENES;CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;VANIA ANGELICA MARTINEZ NAHUEL;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
NCS17_062;97;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS SOCIALES;CONCURSO NUCLEOS EN CIENCIAS SOCIALES Y CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;NUCLEO MILENIO PARA EL ESTUDIO DEL CURSO DE VIDA Y LA VULNERABILIDAD (MLIV);CIENCIAS SOCIALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;VIVIANA MONZERRATT SALINAS ULLOA;MUJER;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICN17_002;98;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO INSTITUTO CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;INSTITUTO MILENIO DE INVESTIGACION SOBRE LOS FUNDAMENTOS DE LOS DATOS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;MARCELO ALEJANDRO ARENAS SAAVEDRA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
ICN17_012;99;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO INSTITUTO CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;INSTITUTO MILENIO DE INVESTIGACION EN OPTICA;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;ALDO PATRICIO DELGADO HIDALGO;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO;;No terminado
ICN17_022;100;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO INSTITUTO CIENCIAS NATURALES Y EXACTAS 2017;2017;2017;INSTITUTO MILENIO DE BIOLOGIA INTEGRATIVA DE SISTEMAS Y SINTETICA;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;LUIS LARRONDO CASTRO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;;No terminado
